"est" "set" "NA"
"1" 0.746158945529108 1 9
"2" 0.783158231056218 1 9
"3" 0.63623809530956 1 8
"4" 0.746959737167698 1 9
"5" 0.746613323308128 1 9
"6" 0.78675339527766 1 9
"7" 0.692477470766296 1 8
"8" 0.635709833399258 1 8
"9" 0.692478774310093 1 8
"10" 0.775577000560493 1 9
"11" 0.791986155239193 1 10
"12" 0.621444438670172 1 7
"13" 0.781815406672817 1 9
"14" 0.707531041699418 1 8
"15" 0.7522894528923 1 9
"16" 0.745559929112645 1 9
"17" 0.746975098739327 1 9
"18" 0.67452556862155 1 8
"19" 0.686315431864578 1 8
"20" 0.793142245368749 1 10
"21" 0.719918839433795 1 9
"22" 0.694992478784029 1 8
"23" 0.763575605458493 1 9
"24" 0.752098305332151 1 9
"25" 0.654374145643619 1 8
"26" 0.648671545814255 1 8
"27" 0.689348392389618 1 8
"28" 0.785829328181533 1 9
"29" 0.653584435928277 1 8
"30" 0.747890389708244 1 9
"31" 0.785321894708973 1 9
"32" 0.706822709679953 1 8
"33" 0.705934352180496 1 8
"34" 0.694992478784029 1 8
"35" 0.700752072783298 1 8
"36" 0.784499872303572 1 9
"37" 0.693035719336188 1 8
"38" 0.739020102025407 1 9
"39" 0.693278188868787 1 8
"40" 0.691792345479817 1 8
"41" 0.693035719336188 1 8
"42" 0.692846154368661 1 8
"43" 0.778129355668766 1 9
"44" 0.78321088405416 1 9
"45" 0.747702324142702 1 9
"46" 0.707531041699418 1 8
"47" 0.785321894708973 1 9
"48" 0.763780516028434 1 9
"49" 0.635178359209429 1 8
"50" 0.64887423711365 1 8
"51" 0.708850101521716 1 9
"52" 0.655586477476294 1 8
"53" 0.784248762763823 1 9
"54" 0.6942129373319 1 8
"55" 0.785921920774126 1 9
"56" 0.753357772884602 1 9
"57" 0.784680443453183 1 9
"58" 0.709652372701503 1 9
"59" 0.708758600854685 1 9
"60" 0.707490355421573 1 8
"61" 0.707376685169372 1 8
"62" 0.681327390606316 1 8
"63" 0.745404746500447 1 9
"64" 0.692883291934436 1 8
"65" 0.704246255720009 1 8
"66" 0.747079733541886 1 9
"67" 0.707531041699418 1 8
"68" 0.753148958415676 1 9
"69" 0.693652140138662 1 8
"70" 0.782597116869483 1 9
"71" 0.708850101521716 1 9
"72" 0.707741764229869 1 8
"73" 0.70886213661107 1 9
"74" 0.749778151398615 1 9
"75" 0.795396776076766 1 10
"76" 0.719918839433795 1 9
"77" 0.7256123069479 1 9
"78" 0.77622006677598 1 9
"79" 0.747816133070121 1 9
"80" 0.733397607510865 1 9
"81" 0.707490355421573 1 8
"82" 0.74839129493854 1 9
"83" 0.708758600854685 1 9
"84" 0.74675513697502 1 9
"85" 0.784499872303572 1 9
"86" 0.782203157134716 1 9
"87" 0.747338369397421 1 9
"88" 0.753834405307424 1 9
"89" 0.709652372701503 1 9
"90" 0.691792345479817 1 8
"91" 0.708758600854685 1 9
"92" 0.649224040275162 1 8
"93" 0.676652712333322 1 8
"94" 0.653809911730723 1 8
"95" 0.706822709679953 1 8
"96" 0.745559929112645 1 9
"97" 0.753296982286311 1 9
"98" 0.690161180812254 1 8
"99" 0.690043443928456 1 8
"100" 0.782203157134716 1 9
"101" 0.793401701856113 1 10
"102" 0.747866048042048 1 9
"103" 0.694116431031785 1 8
"104" 0.70839768776839 1 9
"105" 0.749393391771306 1 9
"106" 0.784001383086328 1 9
"107" 0.688064912773892 1 8
"108" 0.691926719114982 1 8
"109" 0.684751506474101 1 8
"110" 0.776240018787792 1 9
"111" 0.749778151398615 1 9
"112" 0.694116431031785 1 8
"113" 0.653809911730723 1 8
"114" 0.676087859909559 1 8
"115" 0.682305613891745 1 8
"116" 0.775329755349366 1 9
"117" 0.74839129493854 1 9
"118" 0.707531041699418 1 8
"119" 0.718318736416139 1 9
"120" 0.784499872303572 1 9
"121" 0.747335039928006 1 9
"122" 0.692478774310093 1 8
"123" 0.712348825881613 1 9
"124" 0.548021182956392 1 7
"125" 0.538920264484635 1 6
"126" 0.785130328143471 1 9
"127" 0.693749404964621 1 8
"128" 0.708758600854685 1 9
"129" 0.634601626066029 1 8
"130" 0.745559929112645 1 9
"131" 0.707490355421573 1 8
"132" 0.655586477476294 1 8
"133" 0.689294196454038 1 8
"134" 0.784130101374811 1 9
"135" 0.748081771129016 1 9
"136" 0.6942129373319 1 8
"137" 0.69282585743457 1 8
"138" 0.795240473782569 1 10
"139" 0.655069508755673 1 8
"140" 0.785130328143471 1 9
"141" 0.689231967016809 1 8
"142" 0.674995261215346 1 8
"143" 0.748801255004314 1 9
"144" 0.689532318828575 1 8
"145" 0.707769969358074 1 8
"146" 0.790679612158106 1 9
"147" 0.77622006677598 1 9
"148" 0.693751601063976 1 8
"149" 0.747335039928006 1 9
"150" 0.74743477725019 1 9
"151" 0.653844625894082 1 8
"152" 0.69243491466097 1 8
"153" 0.690161180812254 1 8
"154" 0.635709833399258 1 8
"155" 0.739020102025407 1 9
"156" 0.783102320979807 1 9
"157" 0.693749404964621 1 8
"158" 0.707769969358074 1 8
"159" 0.733397607510865 1 9
"160" 0.747150970308353 1 9
"161" 0.692477470766296 1 8
"162" 0.793544684735332 1 10
"163" 0.691153976144116 1 8
"164" 0.69243491466097 1 8
"165" 0.689797027589368 1 8
"166" 0.653809911730723 1 8
"167" 0.76277078251566 1 9
"168" 0.746158945529108 1 9
"169" 0.785466110456396 1 9
"170" 0.786374222908518 1 9
"171" 0.694877264349272 1 8
"172" 0.647090410836765 1 8
"173" 0.708850101521716 1 9
"174" 0.718318736416139 1 9
"175" 0.647657750352088 1 8
"176" 0.646251132879953 1 8
"177" 0.748003086117857 1 9
"178" 0.75390022473698 1 9
"179" 0.693278188868787 1 8
"180" 0.707490355421573 1 8
"181" 0.748551804454863 1 9
"182" 0.785229577652317 1 9
"183" 0.653809911730723 1 8
"184" 0.692927677763073 1 8
"185" 0.795073807115903 1 10
"186" 0.747866048042048 1 9
"187" 0.714427528217542 1 9
"188" 0.708758600854685 1 9
"189" 0.782203157134716 1 9
"190" 0.691532265735701 1 8
"191" 0.707769969358074 1 8
"192" 0.747866048042048 1 9
"193" 0.692746619397975 1 8
"194" 0.782936232618383 1 9
"195" 0.689348392389618 1 8
"196" 0.7522894528923 1 9
"197" 0.737727875775918 1 9
"198" 0.781365107451464 1 9
"199" 0.78530902280512 1 9
"200" 0.693035719336188 1 8
"201" 0.745004384676371 1 9
"202" 0.785097226438551 1 9
"203" 0.712348825881613 1 9
"204" 0.753373657689331 1 9
"205" 0.77622006677598 1 9
"206" 0.69191161813148 1 8
"207" 0.706822709679953 1 8
"208" 0.748081771129016 1 9
"209" 0.688064912773892 1 8
"210" 0.747338369397421 1 9
"211" 0.720798557668777 1 9
"212" 0.784701307238296 1 9
"213" 0.746671803641687 1 9
"214" 0.751512183266501 1 9
"215" 0.689532318828575 1 8
"216" 0.70886213661107 1 9
"217" 0.645276119192995 1 8
"218" 0.750168378317349 1 9
"219" 0.750908769510591 1 9
"220" 0.653587074352654 1 8
"221" 0.694116431031785 1 8
"222" 0.692668732623494 1 8
